City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,vargem grande,-3.5431,-43.9158,22.47,98,24,1.2,BR,1695099954
339,karratha,-20.7377,116.8463,30.65,36,63,6.64,AU,1695099998
340,jijiga,9.35,42.8,19.79,72,62,6.82,ET,1695099999
341,talcahuano,-36.7167,-73.1167,5.82,93,0,1.54,CL,1695099999
342,atamanovka,51.93,113.63,17.24,33,7,0.87,RU,1695099999
343,kismayo,-0.3582,42.5454,26.63,75,57,6.42,SO,1695100000
344,kalach,50.4258,41.0261,17.68,49,100,1.76,RU,1695100000
345,vilyuchinsk,52.9306,158.4028,14.15,67,99,2.92,RU,1695100000
346,arumbavur,11.3833,78.7333,28.67,68,100,3.19,IN,1695100000
347,enshi,30.3,109.4833,31.16,64,91,2.3,CN,1695100000
348,gadzhiyevo,69.2551,33.3362,3.81,95,100,2.41,RU,1695100001
349,hadibu,12.65,54.0333,27.79,73,85,8.89,YE,1695099737
350,promyshlennaya,54.9159,85.6385,17.53,52,91,1.96,RU,1695100001
351,palotina,-24.2839,-53.84,21.49,79,35,2.86,BR,1695099735
352,boa vista,2.8197,-60.6733,26.99,69,0,2.06,BR,1695100002
353,svetlyy,54.675,20.1347,17.03,87,100,4.69,RU,1695100002
354,manali,13.1667,80.2667,32.05,74,100,2.61,IN,1695100002
355,holualoa,19.6228,-155.9522,25.91,88,100,4.63,US,1695099769
356,galesong,-5.3166,119.3661,33.01,59,8,3.96,ID,1695100003
357,christchurch,-43.5333,172.6333,21.11,35,1,4.12,NZ,1695099160
358,zermatt,46.0213,7.7491,10.02,94,54,2.95,CH,1695100003
359,riohacha,11.5444,-72.9072,26.61,85,99,3.06,CO,1695100003
360,galle,6.0367,80.217,27.74,73,98,2.22,LK,1695100004
361,al kharj,24.155,47.3346,33.67,15,68,2.04,SA,1695100004
362,sinop,41.7711,34.8709,15.59,50,0,1.19,TR,1695100004
